Date,AMZN,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,SHW,TRV,UNH,CRM,NVDA,VZ,V,WMT,DIS
1/3/2023,85.81999969482422,142.45147705078125,241.36773681640625,123.47061920166016,195.38999938964844,228.4510955810547,44.44624710083008,158.73715209960938,326.0304260253906,298.1170654296875,203.15570068359375,128.43173217773438,166.30369567871094,58.78237533569336,126.7098617553711,250.91378784179688,92.86898040771484,104.3409194946289,234.8089599609375,114.67711639404297,142.46469116210938,234.02110290527344,178.92530822753906,500.9302978515625,133.82110595703125,14.303277969360352,33.885597229003906,203.5142364501953,46.349464416503906,87.88431549072266
1/4/2023,85.13999938964844,145.76296997070312,243.89532470703125,124.74412536621094,203.63999938964844,230.8228302001953,44.43689727783203,157.04933166503906,327.4241638183594,301.7218933105469,199.1172332763672,129.38441467285156,168.1143035888672,58.754356384277344,127.89143371582031,250.97071838378906,94.90120697021484,105.22340393066406,224.5376739501953,117.0527344,143.0850372314453,238.72361755371094,179.0304718017578,487.2731018066406,138.59689331054688,14.736924171447754,34.738651275634766,208.6367188,46.40109634399414,90.85758209228516
1/5/2023,83.12000274658203,142.27484130859375,246.17385864257812,123.4212646484375,204.99000549316406,229.7899627685547,43.810768127441406,159.8775634765625,323.7138977050781,297.7017822265625,193.83694458007812,128.03248596191406,166.87301635742188,58.08202362060547,127.86310577392578,248.8539581298828,93.24053192138672,106.68795776367188,217.88287353515625,116.48296356201172,141.3085938,222.6607666015625,179.3365020751953,473.22955322265625,135.3699951171875,14.25332260131836,35.22007751464844,207.16476440429688,46.242950439453125,90.79830169677734
1/6/2023,86.08000183105469,145.90870666503906,253.8673858642578,127.9624252319336,213,237.9954071044922,45.15649414,161.08184814453125,327.7819824,299.6458435058594,199.3352813720703,130.38247680664062,168.2262725830078,59.20257568359375,130.30984497070312,255.79293823242188,96.09175109863281,107.8145523071289,220.4506836,120.25887298583984,144.6735076904297,230.5308837890625,185.37966918945312,473.2682189941406,139.5103302001953,14.846835136413574,35.63393020629883,213.68064880371094,47.37586212158203,92.77390289
1/9/2023,87.36000061035156,146.13218688964844,249.18118286132812,128.4856414794922,208.57000732421875,235.8531494140625,45.39946746826172,159.82281494140625,332.41510009765625,299.9099426269531,199.71449279785156,130.24639892578125,163.86781311035156,58.46487808227539,129.77134704589844,253.6855469,96.14482116699219,103.62740325927734,222.5970458984375,120.56790161132812,142.9064941,230.73619079589844,180.83773803710938,473.32623291015625,146.05345153808594,15.615205764770508,35.49067306518555,214.51480102539062,46.78519058227539,93.61352539
1/10/2023,89.87000274658203,147.68678283691406,252.64967346191406,129.05825805664062,206.69000244140625,239.57333374023438,45.61441421508789,160.6074219,336.5208435058594,302.5711669921875,200.34963989257812,131.38052368164062,163.47579956054688,58.016658782958984,130.9333038330078,255.2613067626953,97.16094207763672,104.03108978271484,224.29263305664062,121.52394104003906,142.76547241210938,228.8688965,182.84576416015625,469.4047852,146.39105224609375,15.895975112915039,35.98823547363281,216.95823669433594,46.756141662597656,94.39389038085938
1/11/2023,95.08999633789062,149.55230712890625,251.75494384765625,131.78294372558594,208.02999877929688,239.78372192382812,45.988216400146484,159.84104919433594,343.2256774902344,310.4697570800781,201.25970458984375,131.79788208007812,163.21450805664062,57.90460205078125,131.90634155273438,255.16636657714844,97.91165924072266,104.27519989013672,231.07479858398438,123.55191040039062,141.60935974121094,238.3129883,183.23780822753906,476.55218505859375,143.86911010742188,15.987898826599121,35.32766342163086,217.94935607910156,47.16605758666992,95.15449523925781
1/12/2023,95.26999664,150.5239258,249.9191895,131.7039794921875,214.32000732421875,243.9342498779297,45.791969299316406,161.55624389648438,348.3672790527344,311.2907409667969,204.74835205078125,132.0610352,162.3931884765625,57.15756607055664,131.77407836914062,253.15399169921875,98.08607482910156,104.93235778808594,233.7602539,123.50363159179688,140.8104248046875,238.29347229003906,183.5820313,478.74468994140625,148.53565979003906,16.497478485107422,35.868133544921875,219.44093322753906,46.74000930786133,98.59202575683594
1/13/2023,98.12000274658203,151.34010314941406,250.66636657714844,133.0366668701172,214.1300048828125,247.17630004882812,45.67982864379883,161.99417114257812,352.19049072265625,312.5552978515625,205.3455810546875,132.36949157714844,161.8612060546875,57.362998962402344,135.09934997558594,255.2423858642578,98.20739746,105.38300323486328,234.46591186523438,124.43070983886719,141.8161621,240.38563537597656,185.42752075195312,472.8529357910156,148.44630432128906,16.885162353515625,35.91102219,218.8914031982422,46.894935607910156,98.18703461
1/17/2023,96.05000305175781,149.38714599609375,248.5354766845703,134.20159912109375,211.41000366210938,245.0723114013672,44.93220520019531,164.66732788085938,329.5147399902344,309.08258056640625,201.20286560058594,131.734375,160.8625946044922,57.59644699,133.01162719726562,260.1973876953125,96.00074005126953,103.6931152,235.56362915039062,123.74504852294922,141.4025879,242.2627410888672,176.8981475830078,468.5162353515625,147.41371154785156,17.68750572,35.04456329345703,218.83255004882812,46.61090087890625,98.69080352783203
1/18/2023,95.45999908447266,146.15164184570312,243.89532470703125,133.480957,209.41000366210938,241.78248596191406,43.82945251464844,161.69308471679688,328.7330627441406,305.45880126953125,193.61888122558594,127.39739227294922,158.43601989746094,55.85025405883789,129.01560974121094,252.53701782226562,93.08130645751953,102.13465881347656,231.11402893066406,122.09369659423828,137.6147003173828,238.81161499023438,175.58816528320312,459.9780578613281,144.4152069091797,17.36277198791504,34.28963088989258,215.3587188720703,45.458614349365234,97.83142852783203
1/19/2023,93.68000030517578,142.68292236328125,241.71827697753906,133.54019165039062,207.08999633789062,236.14199829101562,43.41826248168945,163.3079376220703,330.2962951660156,293.37030029296875,190.2250213623047,127.58789825439453,158.22137451171875,55.76621627807617,127.2962646484375,250.20187377929688,89.80543518066406,103.17677307128906,227.3112793,120.25887298583984,134.70437622070312,229.10348510742188,175.98020935058594,467.8207702636719,145.3683624267578,16.751272201538086,34.36683654785156,216.29095458984375,44.809852600097656,97.87094116210938
1/20/2023,97.25,147.2981414794922,242.83445739746094,136.10694885253906,206.75999450683594,239.94715881347656,43.717308044433594,165.04139709472656,321.9058837890625,297.2582702636719,191.5238037109375,128.11415100097656,157.48406982421875,56.10238265991211,127.6080322265625,254.94805908203125,91.48885345458984,103.21432495117188,235.43618774414062,122.2771987915039,135.22459411621094,239.82838439941406,177.2136993408203,470.1001892089844,150.17393493652344,17.82439422607422,34.315364837646484,220.11805725097656,45.36178970336914,102.21723937988281
1/23/2023,97.51999664,149.63003540039062,240.7404327392578,139.3054962158203,209.97000122070312,242.8202362060547,44.390174865722656,164.82241821289062,328.78021240234375,297.71124267578125,193.82742309570312,128.7130126953125,157.08274841308594,56.24245071411133,129.6768798828125,255.62208557128906,92.98271942138672,103.15799713134766,237.74920654296875,123.88990020751953,133.40859985351562,240.54205322265625,178.1986083984375,469.2213134765625,154.7610626220703,19.177288055419922,33.997947692871094,219.9904785,46.03960418701172,104.40027618408203
1/24/2023,96.31999969482422,150.92227172851562,239.56890869140625,140.7073516845703,211.97999572753906,247.5382843017578,44.67987823486328,164.97750854492188,328.0173645019531,299.7967529296875,196.16897583007812,128.3772735595703,157.08274841308594,56.541255950927734,130.79161071777344,255.87835693359375,87.20447540283203,101.88117980957031,237.21995544433594,122.47999572753906,134.13690185546875,243.78787231445312,184.7868652,474.8135986328125,153.75823974609375,19.249225616455078,34.67567062,219.70590209960938,46.16225051879883,104.70649719238281
1/25/2023,97.18000030517578,152.32142639160156,236.6538543701172,140.0458984,212.67999267578125,248.33584594726562,44.83875274658203,163.38092041015625,329.24163818359375,299.3910217285156,195.9224853515625,127.71492004394531,158.2027130126953,56.89611053466797,131.42453002929688,259.1437072753906,85.63479614257812,101.94689178466797,235.81846618652344,122.47032928466797,134.0423126220703,241.56858825683594,182.38677978515625,475.6828613,155.05892944335938,19.307180404663086,34.598472595214844,220.6970215,45.94276809692383,106.80062866210938
1/26/2023,99.22000122070312,151.45669555664062,235.12254333496094,142.1190643310547,212.72999572753906,251.87196350097656,45.17517852783203,171.32736206054688,334.2702331542969,296.1353454589844,198.4631348,121.98970794677734,157.62403869628906,56.78405762,132.23699951171875,260.7763977050781,86.10494232177734,100.33213806152344,243.06124877929688,123.15597534179688,133.50318908691406,220.0308837890625,183.6967773,475.6635742,163.9154815673828,19.78578758239746,34.546993255615234,220.51060485839844,45.900814056396484,108.36134338378906
1/27/2023,102.23999786376953,167.42047119140625,233.98788452148438,144.06385803222656,211.1699981689453,254.1973419189453,45.33405303955078,163.71849060058594,333.0742492675781,298.8531188964844,197.30654907226562,121.93527221679688,157.00807189941406,56.48524094,132.5581817626953,258.6311340332031,87.39404297,98.93328094482422,243.2180938720703,123.15597534179688,132.9545898,223.43307495117188,180.49346923828125,469.4530944824219,163.3495330810547,20.348325729370117,34.86440658569336,227.1148223876953,46.25263214111328,108.20330047607422
1/30/2023,100.55000305175781,167.76052856445312,232.08753967285156,141.1713409423828,209.6699981689453,251.27622985839844,45.06303405761719,158.92872619628906,336.6149902,296.5411376953125,195.0787811279297,122.76093292236328,151.1936798095703,56.62530517578125,131.4340057373047,257.1408386230469,85.36937713623047,99.59983825683594,237.87661743164062,122.03577423095703,133.37075805664062,225.72080993652344,179.68072509765625,469.20196533203125,163.57786560058594,19.146310806274414,35.21614074707031,224.81854248046875,45.881446838378906,106.27708435058594
1/31/2023,103.12999725341797,169.96609497070312,232.8347625732422,142.4448242,213,242.4263153076172,45.48357009887695,158.76451110839844,344.47808837890625,305.91180419921875,197.6383819580078,122.2437515258789,152.5189208984375,57.260284423828125,132.2180938720703,253.8279571533203,87.26512145996094,100.83909606933594,242.8750762939453,122.96284484863281,134.6665496826172,231.30323791503906,182.75013732910156,482.1444396972656,166.7749786376953,19.521005630493164,35.66224670410156,225.90780639648438,46.43660354614258,107.16610717773438
2/1/2023,105.1500015258789,168.6835938,227.30909729003906,143.57022094726562,214.75,239.78379821777344,45.39012145996094,156.3376922607422,344.3838806152344,309.6110534667969,195.9698944091797,122.57041931152344,153.91885375976562,57.26962661743164,131.8685302734375,252.7553253173828,87.85660552978516,100.4354019165039,247.7166748046875,125.05840301513672,135.4326629638672,237.78506469726562,177.11805725097656,480.0292053222656,170.5976104736328,20.925853729248047,35.76518630981445,226.58489990234375,46.69481277,108.05513000488281
2/2/2023,112.91000366210938,168.21719360351562,227.4197998046875,148.89132690429688,209.33999633789062,235.32522583007812,46.09102249145508,154.1936798095703,347.9246826171875,320.65203857421875,196.59556579589844,123.74994659423828,154.49752807617188,56.28913497924805,131.25450134277344,249.8506317138672,91.21586608886719,97.13075256347656,259.3306884765625,124.63349151611328,134.46792602539062,239.86749267578125,173.79051208496094,454.7527770996094,173.3975372314453,21.691225051879883,35.885292053222656,225.2699432373047,46.35591125488281,111.82850646972656
2/3/2023,103.38999938964844,173.78460693359375,226.16522216796875,152.52427673339844,206.00999450683594,238.07339477539062,45.446197509765625,154.5951385498047,348.376709,312.8289794921875,192.1494903564453,124.24896240234375,153.62957763671875,55.868934631347656,133.2855682373047,250.81886291503906,89.09262848,96.64255524,253.20516967773438,123.23323822021484,134.8840789794922,236.32839965820312,174.75625610351562,455.90216064453125,169.82315063476562,21.08272361755371,35.61077117919922,225.82928466796875,45.73942947387695,109.35902404785156
2/6/2023,102.18000030517578,171.4721221923828,224.94754028320312,149.78965759277344,206.80999755859375,241.5902862548828,44.455589294433594,154.76849365234375,349.1771240234375,310.72454833984375,193.4292449951172,123.55937194824219,152.4629364013672,56.18642044067383,134.06967163085938,254.3216094970703,88.34191895,97.66587067,251.65663146972656,121.41771697998047,133.73963928222656,237.59930419921875,177.84481811523438,459.0122375488281,167.84730529785156,21.071733474731445,35.413455963134766,225.15219116210938,45.406978607177734,108.5292739868164
2/7/2023,102.11000061035156,173.62911987304688,225.0858917236328,152.67237854003906,214.75999450683594,239.89913940429688,44.70792007446289,158.82835388183594,352.5671387,306.88385009765625,194.78489685058594,123.25090789794922,152.5002441,56.093040466308594,135.70394897460938,253.77096557617188,88.64524841308594,99.21492004394531,262.23175048828125,121.03143310546875,132.4344024658203,233.11187744140625,180.73255920410156,460.5962219238281,170.06141662597656,22.15484619140625,34.787200927734375,226.9970703,45.503807067871094,110.26779174804688
2/8/2023,100.05000305175781,173.92062377929688,221.58047485351562,149.9772491455078,213.5,239.1400146484375,43.885528564453125,155.09693908691406,353.2263184,302.722168,191.70391845703125,123.37789154052734,152.6962432861328,55.76621627807617,134.74984741210938,249.4804229736328,87.39404297,100.11620330810547,261.4183044433594,118.69441986083984,131.06295776367188,230.2473602294922,179.1834716796875,466.7196960449219,168.4231719970703,22.18682098388672,34.76146317,225.89801025390625,45.25851058959961,110.41596221923828
2/9/2023,98.23999786376953,174.2801055908203,221.3959503173828,148.94068908691406,211.99000549316406,236.65126037597656,43.67058181762695,153.67369079589844,346.53094482421875,297.77728271484375,188.8599090576172,122.84519958496094,150.63368225097656,55.67283248901367,132.65264892578125,247.43006896972656,85.63479614257812,100.19129943847656,258.3702087402344,117.98947143554688,129.6252899169922,226.33676147460938,177.24241638183594,469.1440734863281,172.42449951171875,22.31871223449707,34.15237045288086,225.50466918945312,45.67810059,109.01329040527344
2/10/2023,97.61000061035156,174.16354370117188,223.70217895507812,149.3065185546875,212.88999938964844,237.98692321777344,44.16588592529297,156.89422607421875,349.6291504,298.7115783691406,190.04493713378906,124.54438018798828,151.3336639404297,55.67283248901367,133.2383575439453,249.1007537841797,86.35517120361328,101.92813110351562,257.8606262207031,118.03775787353516,130.7697296142578,225.3395233154297,178.57151794433594,477.37310791015625,165.8416748046875,21.247589111328125,34.323944091796875,223.39073181152344,46.388187408447266,106.7413558959961
